SELECT     COD_OS, STATUS_OS, STATUS, COD_RESPONSAVEL, TIPO_OS, DATA_ENTRADA, HORA_ENTRADA, DATA_TERMINO, HORA_TERMINO, COD_FUNCIONARIO, COD_CLIENTE, SUBTOTAL, TIPO_DESC, VALOR_DESC, TOTAL, TIPO_PAGAMENTO, PAGAMENTO, ValorDescReal, COD_PEDIDO, 
                  OBS, ENTRADA
FROM        OS
Dados:
25	1	TERMINADO	2	ORÇAMENTO	2024-05-17 00:00:00.000	1900-01-01 17:58:00.000	2024-05-17 00:00:00.000	1900-01-01 00:00:00.000	2	12	500,00	P	0,00	500,00	NULL	NULL	0,00	25		0,00
26	1	TERMINADO	2	ORÇAMENTO	2024-11-28 00:00:00.000	1900-01-01 14:17:00.000	2024-11-28 00:00:00.000	1900-01-01 00:00:00.000	2	9	200,00	P	0,00	200,00	NULL	NULL	0,00	26		0,00
27	1	TERMINADO	2	ORÇAMENTO	2024-12-13 00:00:00.000	1900-01-01 14:33:00.000	2024-12-13 00:00:00.000	1900-01-01 00:00:00.000	2	14	10220,00	P	0,00	10220,00	NULL	NULL	0,00	27		0,00
42	1	TERMINADO	2	CONSERTO	2025-03-26 00:00:00.000	1900-01-01 09:33:00.000	2025-03-26 00:00:00.000	1900-01-01 00:00:00.000	2	3	150,00	R	0,00	150,00	À Prazo	PROMISSORIA	0,00	42		50,00
43	1	TERMINADO	2	CONSERTO	2025-03-26 00:00:00.000	1900-01-01 15:18:00.000	2025-03-26 00:00:00.000	1900-01-01 00:00:00.000	2	3	40,00	R	5,00	35,00	À Vista	1 - FORMA	5,00	43		0,00
44	1	TERMINADO	2	CONSERTO	2025-03-31 00:00:00.000	1900-01-01 15:28:00.000	2025-03-31 00:00:00.000	1900-01-01 00:00:00.000	2	3	100,00	R	10,00	90,00	À Vista	1 - FORMA	10,00	44		0,00
54	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	0,00	54	NULL	0,00
79	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	111	NULL	0,00
188	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	NULL	NULL	NULL	NULL	325	NULL	0,00
189	1	TERMINADO	2	CONSERTO	2026-01-07 00:00:00.000	1900-01-01 11:08:00.000	2026-02-26 00:00:00.000	1900-01-01 00:00:00.000	2	28	4577,44	R	0,00	4577,44	À Prazo	PROMISSORIA	0,00	326		0,00
