SELECT     codigo, cod_os, descricao, preco, quantidade, subtotal, desconto, total, data, cod_servico
FROM        OS_Servicos_Auto
Dados:
51	18	TROCA DO EIXO COMPLETO	150,00	1	150,00	0,00	150,00	2024-03-05 00:00:00.000	57
52	18	TROCA DE BIELETA	30,00	2	60,00	0,00	60,00	2024-03-05 00:00:00.000	58
53	18	TROCA SAPATA DE FREIO	160,00	1	160,00	0,00	160,00	2024-03-05 00:00:00.000	15
54	18	TROCA 02 PIVO DA BALANÇA SUPERIOR	350,00	1	350,00	0,00	350,00	2024-03-05 00:00:00.000	60
55	18	TROCA DE OLEO COMPLETO	250,00	1	250,00	0,00	250,00	2024-03-05 00:00:00.000	61
56	18	LUBRIFICAR AS CRUZETAS	40,00	1	40,00	0,00	40,00	2024-03-05 00:00:00.000	62
57	18	ALINHAMENTO E BALANCIAMENTO .	140,00	1	140,00	0,00	140,00	2024-03-05 00:00:00.000	63
58	18	CAMBAGEM	90,00	2	180,00	0,00	180,00	2024-03-05 00:00:00.000	2
59	19	TROCA PASTILHA E DISCO DE FREIO	100,00	1	100,00	0,00	100,00	2024-03-08 00:00:00.000	71
60	19	TROCA SAPATA DE FREIO E CILINDRO DA RODA	160,00	1	160,00	0,00	160,00	2024-03-08 00:00:00.000	55
61	19	TROCA BOMBA DE AGUA E CORREIA DENTADA	250,00	1	250,00	0,00	250,00	2024-03-08 00:00:00.000	73
62	19	TROCA DE OLEO COMPLETO	150,00	1	150,00	0,00	150,00	2024-03-08 00:00:00.000	61
63	19	TROCA BASE DO MOTOR	50,00	1	50,00	0,00	50,00	2024-03-08 00:00:00.000	70
64	19	TROCA 02 ROLAMENTO DIANTEIRO DA RODA	160,00	1	160,00	0,00	160,00	2024-03-08 00:00:00.000	74
65	19	TROCA 02  AMORTECEDOR DIANTEIRO COMPLETO	150,00	1	150,00	0,00	150,00	2024-03-08 00:00:00.000	75
66	19	TROCA BUCHA BARRA ESTABILIZADORA 	40,00	1	40,00	0,00	40,00	2024-03-08 00:00:00.000	51
67	19	ROLAMENTO TENSOR E CORREIA DE ACESSORIO	40,00	1	40,00	0,00	40,00	2024-03-08 00:00:00.000	76
68	19	TROCA DO CARTEC	150,00	1	150,00	0,00	150,00	2024-03-08 00:00:00.000	68
69	19	CONCERTO MOTOR DE PARTIDA	150,00	1	150,00	0,00	150,00	2024-03-08 00:00:00.000	67
70	19	DIAGNOSTICO DA INJECAO E ABS	250,00	1	250,00	0,00	250,00	2024-03-08 00:00:00.000	66
71	19	LIMPEZA DO SISTEMA DE RADIADOR	220,00	1	220,00	0,00	220,00	2024-03-08 00:00:00.000	65
72	19	TROCA SENSOR DE VELOCIDADE	100,00	1	100,00	0,00	100,00	2024-03-08 00:00:00.000	64
73	20	DESLOCAMENTO	300,00	1	300,00	0,00	300,00	2024-03-13 00:00:00.000	77
74	20	TROCA DO ROLAMENTO DA RODA	400,00	1	400,00	0,00	400,00	2024-03-13 00:00:00.000	79
75	21	DIAGNOSTICO DA INJECAO E ABS	250,00	1	250,00	0,00	250,00	2024-03-13 00:00:00.000	66
76	21	TROCA DO PIVÔ E BALANÇA SUPERIOR	180,00	1	180,00	0,00	180,00	2024-03-13 00:00:00.000	80
77	22	TROCA SAPATA DE FREIO E CILINDRO DA RODA	200,00	1	200,00	0,00	200,00	2024-03-14 00:00:00.000	55
78	23	TROCA 02 PIVO INFERIOR 	300,00	1	300,00	0,00	300,00	2024-03-19 00:00:00.000	82
79	23	TROCA 02 AMORTECEDOR DIANTEIRO	220,00	1	220,00	0,00	220,00	2024-03-19 00:00:00.000	83
80	23	TROCA DE 01 PIVÔ SUPERIOR LADO DIREITO	150,00	1	150,00	0,00	150,00	2024-03-19 00:00:00.000	84
81	23	TROCA DO EIXO DIANTEIRO	150,00	1	150,00	0,00	150,00	2024-03-19 00:00:00.000	85
82	23	CAMBAGEM	100,00	2	200,00	0,00	200,00	2024-03-19 00:00:00.000	2
83	23	ALINHAMENTO	70,00	1	70,00	0,00	70,00	2024-03-19 00:00:00.000	54
84	23	TROCA DE 06 PARAFUSO	80,00	1	80,00	0,00	80,00	2024-03-19 00:00:00.000	88
85	24	SERVIÇO ELETRICO DA INGNIÇÃO	150,00	1	150,00	0,00	150,00	2024-04-04 00:00:00.000	89
86	24	ALINHAMENTO E BALANCIAMENTO 	120,00	1	120,00	0,00	120,00	2024-04-04 00:00:00.000	90
87	24	TROCA DE 02 PNEUS	40,00	1	40,00	0,00	40,00	2024-04-04 00:00:00.000	91
88	25	TROCA CARTEC E RETENTOR DO  VOLANTE	500,00	1	500,00	0,00	500,00	2024-05-17 00:00:00.000	92
