Line 13: Cannot load control Relatorio; license not found.
Line 28: Cannot load control ReportSection2; license not found.
Line 37: Cannot load control frEnt; license not found.
Line 58: Cannot load control frTitParc; license not found.
Line 80: Cannot load control frValorParc; license not found.
Line 101: Cannot load control frVencParc; license not found.
Line 122: Cannot load control frNumParc; license not found.
Line 143: Cannot load control frNome; license not found.
Line 167: Cannot load control txtCodProd; license not found.
Line 374: Cannot load control txtVendedor; license not found.
Line 396: Cannot load control txtNumero; license not found.
Line 419: Cannot load control txtData; license not found.
Line 441: Cannot load control txtVenda; license not found.
Line 464: Cannot load control lblSubTotal; license not found.
Line 484: Cannot load control txtSubtotal; license not found.
Line 507: Cannot load control lblDesconto; license not found.
Line 527: Cannot load control txtDesconto; license not found.
Line 549: Cannot load control ReportField2; license not found.
Line 571: Cannot load control txtTot; license not found.
Line 594: Cannot load control txtUnit; license not found.
Line 617: Cannot load control txtQuant; license not found.
Line 640: Cannot load control txtDesc; license not found.
Line 1481: Cannot load control ReportField68; license not found.
Line 1503: Cannot load control ReportField39; license not found.
Line 1525: Cannot load control ReportField40; license not found.
Line 1547: Cannot load control ReportField47; license not found.
Line 1592: Cannot load control rf2; license not found.
Line 1613: Cannot load control rf1; license not found.
Line 1635: Cannot load control rf3; license not found.
Line 1656: Cannot load control rf4; license not found.
Line 1677: Cannot load control ReportField16; license not found.
Line 1697: Cannot load control txtCPF; license not found.
Line 1717: Cannot load control ReportField41; license not found.
Line 1737: Cannot load control txtCliente; license not found.
Line 1757: Cannot load control ReportField3; license not found.
Line 1777: Cannot load control txtEnd; license not found.
Line 1797: Cannot load control ReportField5; license not found.
Line 1817: Cannot load control txtRef; license not found.
Line 1837: Cannot load control ReportField7; license not found.
Line 1857: Cannot load control txtRG; license not found.
Line 1877: Cannot load control ReportField9; license not found.
Line 1897: Cannot load control txtCidade; license not found.
Line 2169: Cannot load control ReportField6; license not found.
Line 2191: Cannot load control ReportField13; license not found.
Line 2211: Cannot load control txtTotal; license not found.
Line 2667: Cannot load control rfValorNum; license not found.
Line 2692: Cannot load control ReportField8; license not found.
Line 2715: Cannot load control ReportField10; license not found.
Line 2739: Cannot load control ReportField12; license not found.
Line 2762: Cannot load control ReportField14; license not found.
Line 2785: Cannot load control ReportField17; license not found.
Line 2809: Cannot load control frValorEst; license not found.
Line 2833: Cannot load control ReportField19; license not found.
Line 2857: Cannot load control rfData; license not found.
